,title_name,match_id,match_id_platform,platform_name,program_type,target,pred_day,prediction,smape,mae,fold
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-6,0.840358946611792,0.8290183211940335,1.1898955820229087,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-5,0.8404039958169094,0.8289739254480586,1.1898505328177913,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-4,0.8405900924001206,0.8287905430463561,1.18966443623458,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-3,0.8413304189565243,0.8280612493636889,1.1889241096781764,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-2,0.8415449360350566,0.8278499994332577,1.188709592599644,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,-1,0.8416536905481911,0.8277429133335518,1.1886008380865096,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347007,0,0.8418130170577431,0.8275860457107942,1.1884415115769575,2.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347,1,2.6265558003872638,0.25609858663829277,0.596301271752564,1.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347,2,2.7309386059597784,0.29433129785639645,0.7006840773250786,1.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347,3,2.429341571162534,0.17897900778322942,0.39908704252783433,1.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347,4,2.4854629096074405,0.20161065753039784,0.45520838097274074,1.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347,5,2.9441954332895706,0.36745405488060445,0.9139409046548708,1.0
4732,The Shop: Uninterrupted S4,GXRZd8AUueK5TwgEAAAKq-4,1-GXRZd8AUueK5TwgEAAAKq-4,1,1,2.0302545286347,6,3.014194540011015,0.39010801694563396,0.983940011376315,1.0
